,item,brand,retail,release,lowestAsk,numberOfAsks,salesThisPeriod,highestBid,numberOfBids,annualHigh,annualLow,volatility,deadstockSold,pricePremium,averageDeadstockPrice,lastSale,changePercentage
1629,Jordan 1 Mid Syracuse (W),Jordan,120,2021-08-26,128,384,20,152,92,242,82,0.114046,4272,0.117,142,134,-0.18217
1630,Nike Dunk Low Essential Paisley Pack Worn Blue (W),Nike,120,2022-01-01,184,499,20,305,243,532,164,0.11206,3822,1.467,242,296,0.407375
1631,Nike Dunk Low NH Winter Solstice (W),Nike,100,2021-12-16,162,312,20,284,81,515,144,0.157336,3290,1.59,199,259,0.568591
1632,Nike Air Force 1 Low Shadow Cashmere (W),Nike,110,2021-07-27,106,144,20,120,69,371,39,0.21732,2932,0.109,119,122,0.042735
1633,Nike LeBron 9 Big Bang (2022),Nike,240,2022-02-18,130,409,20,255,137,514,96,0.19769,2503,-0.275,272,174,0.004382
1634,Nike Air Max 90 Metallic Gold (2020) (W),Nike,180,2020-03-26,69,186,20,105,91,303,40,0.126213,2077,-0.361,97,115,0.482075
1635,adidas Yeezy Boost 350 V2 Lundmark (Non Reflective),adidas,220,2019-07-13,264,452,20,317,104,755,170,0.12113,1749,0.305,362,287,0.087121
1636,Nike PG 5 Mismatched Multi-Color,Nike,110,2022-02-15,121,157,20,163,63,316,76,0.122675,1194,0.573,172,173,-0.195349
1637,Nike Dunk High Vintage Black (W),Nike,125,2022-04-07,120,421,20,176,103,549,85,0.224821,1119,-0.016,186,123,-0.08209
1638,Nike Air Force 1 Low '07 Essential White Green Paisley (W),Nike,100,2022-03-10,83,305,20,131,88,280,73,0.396027,1103,-0.1,122,90,-0.267834
1639,adidas Yeezy Foam RNNR Stone Sage (Infants),adidas,40,2022-03-11,91,194,20,100,34,170,70,0.124213,1064,1.5,112,100,0.234568
1640,Nike Air Max 2017 Pure Platinum,Nike,190,,89,172,20,140,53,267,40,0.114443,567,-0.5,137,95,-0.030612
1641,Nike Air Griffey Max 1 Aqua,Nike,170,2022-06-02,125,155,20,195,72,270,100,0.158535,514,0.129,173,192,0.28
1642,Nike Dunk Low Pink (GS),Nike,85,2017-07-01,79,239,20,101,60,173,57,0.209165,509,0.224,99,104,0.172606
1643,Jordan 36 Rui Hachimura Black Samurai,Jordan,195,2022-05-23,194,167,20,300,149,434,147,0.046299,406,0.026,231,200,0.025641
1644,Nike Dunk Low Velvet Brown Black,Nike,100,,110,235,20,149,81,230,101,0.108781,401,0.31,133,131,-0.048833
1645,adidas Yeezy Slide Earth Brown,adidas,55,2020-04-16,171,171,20,215,90,624,115,0.125509,317,4.327,314,293,0.466285
1646,Jordan 1 Low Cardinal Red (GS),Jordan,100,2022-01-22,108,127,20,112,51,278,104,0.059813,262,0.42,140,142,0.302752
1647,Nike Air Force 1 Low Shadow Sail Fossil Light Bone,Nike,120,,108,163,20,135,36,210,49,0.0876,242,-0.1,130,108,-0.265306
1648,Nike Air Zoom G.T. Cut Ghost,Nike,175,,293,130,20,375,64,550,242,0.084569,124,1.0,333,350,0.080247
1649,Nike Dunk Low Championship Red (2021),Nike,100,2021-09-28,190,551,19,230,192,325,126,0.064782,31323,0.96,182,196,-0.015075
1650,Nike Dunk Low Next Nature Sail (W),Nike,100,2021-11-03,154,320,19,180,147,346,98,0.095114,8861,0.51,156,151,0.094203
1651,Jordan 3 Retro Cool Grey (2021),Jordan,190,2021-02-20,220,549,19,255,194,394,0,0.10515,7966,0.237,232,235,-0.020833
1652,Jordan 1 Retro High OG Dark Marina Blue (GS),Jordan,130,2022-02-16,105,944,19,115,57,314,55,0.092778,6387,-0.131,152,113,-0.125316
1653,Jordan 1 Retro High Pine Green Black,Jordan,170,2020-02-29,199,715,19,330,211,489,165,0.121359,5828,0.765,307,300,0.0
1654,Jordan 1 Mid Chicago Toe,Jordan,115,2020-04-01,231,579,19,300,200,595,101,0.0864,5755,1.774,257,319,0.108763
1655,Jordan 1 Mid Metallic Orange,Jordan,115,2021-08-11,100,481,19,125,106,249,60,0.067271,5623,0.096,134,126,0.006287
1656,Jordan 1 Retro High COJP Midnight Navy (2020),Jordan,170,2020-11-14,158,727,19,462,234,601,116,0.157417,5622,0.976,311,336,0.226334
1657,Nike Dunk High AMBUSH Deep Royal,Nike,180,2021-05-18,250,581,19,311,264,522,200,0.094511,5193,0.722,351,310,0.087561
1658,adidas Yeezy 450 Resin,adidas,200,2021-12-17,173,982,19,226,75,539,140,0.131644,5131,0.15,217,230,-0.08
1659,Converse Chuck Taylor All-Star Lift Hi White Red (W),Converse,100,2022-02-21,100,154,19,117,42,280,65,0.137838,4841,0.0,116,100,-0.251403
1660,Nike Dunk Low Coast (W),Nike,100,2021-02-18,294,333,19,359,264,588,210,0.166976,4628,1.49,328,249,-0.366576
1661,Jordan 5 Retro Fire Red Silver Tongue (2020),Jordan,200,2020-05-02,221,682,19,245,184,465,0,0.09359,4370,0.35,252,270,-0.048842
1662,Jordan 5 Retro Top 3,Jordan,200,2020-06-20,201,394,19,253,129,397,136,0.158794,3191,0.15,259,230,0.022222
1663,adidas Yeezy 500 Enflame,adidas,200,2021-05-08,208,476,19,250,117,572,125,0.132017,3174,0.42,272,284,0.092308
1664,Nike Air Force 1 Low VD Valentine's Day (2022) (W),Nike,110,2022-02-14,95,351,19,120,56,1075,77,0.076819,3045,-0.018,161,108,0.08
1665,Nike Blazer Mid 77 Vintage Summit White Pink (W),Nike,100,2021-08-31,67,252,19,70,16,227,30,0.229837,2871,-0.39,104,61,-0.436872
1666,Jordan 4 Retro Black Cat (2020),Jordan,190,2020-01-22,500,281,19,880,349,1500,256,0.100703,2505,3.474,764,850,0.019719
1667,Nike Air Force 1 Low Shadow Amethyst Ash (W),Nike,120,2021-12-21,104,255,19,125,83,229,30,0.081311,2429,0.417,138,170,0.298549
1668,Jordan 1 Mid SE Coconut Milk Particle Grey (GS),Jordan,95,2022-02-24,109,348,19,105,44,235,70,0.061159,2274,0.253,138,119,0.11215
1669,Jordan 11 Retro Space Jam (2016),Jordan,220,2016-12-10,380,394,19,440,169,666,271,0.12299,2242,1.223,459,489,0.286842
1670,Converse Chuck Taylor All-Star 70 Ox Comme des Garcons PLAY White,Converse,120,2019-07-09,125,295,19,170,109,374,70,0.162288,2171,0.067,150,128,-0.037594
1671,Nike Blazer Mid LX White Pendants (W),Nike,110,2021-11-11,56,201,19,100,28,269,40,0.302989,2002,-0.455,111,60,-0.210526
1672,Nike Air Max 95 Triple Black (2020),Nike,170,2020-01-01,114,190,19,135,87,301,92,0.227597,1868,-0.412,170,100,-0.346405
1673,Jordan 1 Mid Reverse Chicago (W),Jordan,110,2022-01-01,108,684,19,112,101,328,81,0.128942,1848,0.191,142,131,-0.038462
1674,New Balance 2002R Atlas Lemon Haze,New Balance,145,2021-02-16,118,215,19,150,63,323,50,0.139791,1471,0.062,159,154,0.029388
1675,Nike Air Max Goadome 865031 Black,Nike,170,2016-11-19,104,575,19,130,62,2093,85,0.11843,1350,-0.406,163,101,-0.04717
1676,New Balance 650R Aime Leon Dore White Green,New Balance,165,2021-07-30,200,333,19,270,145,699,176,0.091118,1028,0.545,260,255,0.079505
1677,Nike Air Max 90 Slide Black White,Nike,75,2019-12-24,65,129,19,64,65,148,41,0.117709,967,0.04,84,78,-0.18761
1678,Jordan 12 Golf Metallic Gold,Jordan,220,2022-04-08,179,320,19,275,118,525,171,0.085603,958,0.105,304,243,-0.132143
1679,Nike ACG Mountain Fly Low Gore-Tex SE Dark Smoke Grey,Nike,180,2022-04-22,159,161,19,205,107,408,130,0.167009,547,-0.056,229,170,-0.170732
1680,adidas Ultra Boost 22 Black White,adidas,190,2022-02-01,90,194,19,90,56,208,62,0.091339,488,-0.526,101,90,-0.052632
1681,Nike Air Force 1 Low 07 White (W),Nike,90,,81,188,19,91,25,175,65,0.127764,476,0.222,106,110,0.048078
1682,Jordan 1 Low Beaded Swoosh,Jordan,200,2022-05-01,157,128,19,180,90,308,122,0.100459,465,0.015,182,203,0.033371
1683,Jordan Zion 1 SP Naruto Kyuubi,Jordan,130,2022-05-11,117,234,19,145,33,356,90,0.107643,404,0.162,163,151,0.126866
1684,Jordan 6 Retro Washed Denim (2022) (GS),Jordan,150,2022-05-15,88,285,19,92,39,217,70,0.156675,302,-0.393,137,91,-0.201754
1685,Jordan 1 Low Cardinal Red (GS),Jordan,100,2022-01-22,108,126,19,112,51,278,104,0.059813,262,0.42,140,142,0.302752
1686,adidas Terrex Free Hiker Gore-Tex Black Carbon,adidas,225,,98,148,19,130,50,210,91,0.110159,185,-0.56,134,99,-0.074766
1687,Jordan 5 Retro Green Bean (2022) (PS),Jordan,90,2022-05-28,67,188,19,80,33,154,66,0.204265,122,-0.267,98,66,-0.057143
1688,Nike Epic React Moc Flyknit White Hydrogen Blue,Nike,150,2019-05-02,94,105,19,90,31,309,32,0.013848,107,-0.28,119,108,0.019608
1689,Nike Dunk Low Crazy Camo,Nike,110,2021-08-18,150,398,18,225,140,461,100,0.169973,20160,0.409,155,155,0.040268
1690,Nike Dunk High Championship Navy,Nike,110,2021-10-08,130,666,18,153,185,349,111,0.083311,16298,0.327,168,146,-0.043018
1691,adidas Yeezy Boost 350 V2 Mono Clay,adidas,220,2021-06-18,198,478,18,270,140,546,152,0.165589,7700,-0.05,235,209,-0.009479
1692,Jordan 5 Retro Racer Blue (GS),Jordan,150,2022-02-12,128,343,18,165,41,279,92,0.150627,7512,0.18,185,177,0.022317
1693,Jordan 11 Retro Animal Instinct (W),Jordan,225,2020-11-26,112,551,18,175,49,477,84,0.223713,7151,-0.444,214,125,-0.227018
1694,Nike Dunk High Moon Fossil (W),Nike,110,2021-12-28,116,456,18,126,86,275,95,0.042271,5896,0.136,151,125,0.01626
1695,Jordan 1 Retro High OG University Blue (PS),Jordan,80,2021-03-06,180,140,18,230,102,474,57,0.287285,4906,1.688,183,215,0.378843
1696,New Balance 550 White Red,New Balance,110,2022-02-15,132,441,18,140,134,521,86,0.257215,4749,0.473,161,162,-0.325091
1697,Jordan 1 Mid Triple White (GS),Nike,90,2020-06-30,94,344,18,89,33,269,46,0.064811,4176,0.022,125,92,0.074074
1698,Nike Blazer Mid 77 Vintage Pine Green,Nike,100,2021-01-22,70,163,18,185,95,371,29,0.192128,3632,-0.08,101,92,-0.292308
1699,Nike Kobe 6 Protro Grinch (2020),Nike,190,2020-12-24,400,462,18,850,370,1899,109,0.177038,3546,2.842,601,730,0.334552
1700,Jordan 1 Mid UNC (W),Jordan,115,2020-01-01,145,186,18,209,96,375,128,0.174426,2943,0.391,208,160,-0.207921
1701,Jordan 1 Low White Gym Red (GS),Jordan,75,2021-05-10,97,166,18,105,62,169,42,0.14678,2699,0.533,93,115,0.045455
1702,Nike Air Max 270 Triple Black,Nike,160,2018-03-16,118,323,18,111,111,232,85,0.064008,2239,-0.106,136,143,0.151709
1703,Nike SB Dunk Low Pro ISO Orange Label Unbleached Pack Lilac,Nike,100,2021-09-01,212,255,18,366,230,622,174,0.114699,2224,1.29,267,229,0.036199
1704,Nike Air Force 1 Mid '07 Triple Black (2021),Nike,100,2021-01-01,103,99,18,115,41,250,25,0.118139,2205,0.25,129,125,0.008065
1705,Jordan 3 Retro Black Cement (2018),Jordan,200,2018-02-17,393,368,18,561,245,1000,290,0.176738,2049,0.555,473,311,-0.323913
1706,Jordan 1 High Zoom Air CMFT Patent Chicago (W),Jordan,140,2022-02-22,135,604,18,188,123,414,101,0.094553,2046,0.214,185,170,0.030303
1707,Nike Dunk Low SE Primal White (W),Nike,110,2021-12-22,82,242,18,80,79,190,53,0.100154,1691,-0.109,105,98,-0.152955
1708,Jordan 1 High Zoom Air CMFT Pink Oxford (W),Jordan,140,2022-02-01,145,128,18,180,78,279,56,0.106431,1482,0.079,186,151,0.048611
1709,Nike RYZ 365 White (W),Nike,85,2021-06-12,55,125,18,85,34,201,25,0.154958,1474,-0.2,80,68,-0.005159
1710,Nike Overbreak SP Undercover Sail,Nike,160,2021-03-11,158,150,18,260,152,403,100,0.088659,1402,-0.125,220,140,-0.213483
1711,Nike SB Dunk Low Pro Dark Russet,Nike,100,2022-04-07,149,282,18,245,163,476,121,0.11751,1325,0.65,203,165,0.107383
1712,Nike Air Force 1 Low Athletic Club Black University Gold (GS),Nike,85,2022-02-02,78,143,18,81,34,200,72,0.010642,856,-0.047,103,81,0.0
1713,Nike Air Trainer 1 Utility SP Light Smoke Grey Honeydew Particle Grey,Nike,150,2022-04-14,115,252,18,145,101,399,92,0.153559,752,-0.18,136,123,-0.108696
1714,Jordan 1 Mid SE Diamond (PS),Jordan,80,2022-02-09,88,139,18,85,56,220,45,0.105226,520,0.125,106,90,-0.042553
1715,Nike Free Metcon 4 Black White,Nike,120,2021-04-01,69,99,18,105,43,221,26,0.15159,484,0.192,88,143,1.07246
1716,Jordan 36 SE Glory,Jordan,185,2021-08-17,179,32,18,215,72,483,146,0.106206,471,-0.054,240,175,0.023392
1717,Jordan 1 Mid Washed Teal (W),Jordan,115,,140,119,18,140,112,259,112,0.107568,410,0.287,157,148,0.112782
1718,Nike Dunk Low SE Copy Paste,Nike,100,2022-05-01,111,467,18,132,99,258,99,0.091731,327,0.1,133,110,-0.038449
1719,Nike Air Zoom Maxfly More Uptempo White Black Red,Nike,200,,221,95,18,283,61,507,179,0.087457,205,0.495,310,299,0.016037
1720,Nike Air Zoom Maxfly More Uptempo White Black Red,Nike,200,,221,95,18,283,61,507,179,0.087457,205,0.495,310,299,0.016037
1721,Nike Dunk Low Clear Aqua (PS),Nike,65,2022-02-27,77,205,18,82,41,202,46,0.213589,157,0.354,97,88,-0.063089
1722,Nike Waffle One Summit White,Nike,100,2022-05-13,76,258,17,90,70,344,25,0.12074,8650,-0.2,107,80,-0.058824
1723,Jordan 1 Retro High OG Heritage (PS),Jordan,80,2022-05-25,68,226,17,75,67,140,54,0.080604,388,0.175,81,94,0.337464
1724,Jordan 6 Retro Electric Green,Jordan,190,2021-06-05,199,572,17,261,162,418,140,0.133321,19595,0.363,225,259,0.321932
1725,Nike Dunk High Aluminum (W),Nike,110,2021-09-30,213,374,17,225,175,378,128,0.104597,11309,1.118,195,233,-0.018236
1726,Jordan 1 Retro High OG Pollen (GS),Jordan,130,2021-08-14,110,697,17,135,58,258,90,0.159056,10551,0.154,153,150,0.0
1727,Nike Dunk Low Pink Foam Red White (GS),Nike,85,2021-08-31,185,198,17,186,94,295,106,0.041156,10427,1.212,170,188,-0.015707
1728,Jordan 4 Retro Where the Wild Things Are (GS),Jordan,140,2021-11-05,117,338,17,158,54,500,117,0.108891,9237,0.307,205,183,0.0
1729,Jordan 1 Mid White Pollen Black,Jordan,120,2021-09-01,134,388,17,230,113,268,92,0.117144,7604,0.375,151,165,0.063584
1730,Jordan 3 Retro A Ma Maniére (W),Jordan,200,2021-06-10,379,632,17,795,503,1253,0,0.188972,7159,2.695,481,739,0.049716
1731,Nike Air Force 1 Mid White '07,Nike,95,2016-01-01,81,251,17,125,78,249,29,0.235038,6825,-0.179,118,78,-0.018833
1732,Jordan 1 Retro High Light Army Rust Shadow Patina,Jordan,170,2021-05-04,120,894,17,190,159,339,103,0.139654,6359,0.153,193,196,0.146015
1733,adidas Yeezy Boost 350 V2 Tail Light,adidas,220,2020-02-22,326,483,17,381,188,775,250,0.104331,6208,1.127,381,468,-0.041956
1734,Jordan 1 Low Light Smoke Grey,Jordan,90,2020-09-29,145,311,17,380,180,563,116,0.252704,6083,2.333,269,300,-0.15493
1735,Nike Air Force 1 Low SP Undefeated 5 On It Blue Yellow Croc,Nike,120,2021-09-08,89,756,17,111,98,309,51,0.108835,5741,-0.142,117,103,0.22619
1736,Jordan 1 Low Spades,Jordan,110,2021-05-27,180,269,17,202,155,286,100,0.108631,4807,1.091,159,230,0.208401
1737,Nike Dunk Low Union Passport Pack Pistachio,Nike,150,2022-02-11,347,736,17,500,266,1049,304,0.085728,4247,1.833,440,425,-0.112735
1738,Jordan 6 Retro Mint Foam (W),Jordan,200,2022-03-08,134,850,17,135,80,413,40,0.151622,3143,-0.295,206,141,0.007143
1739,Jordan 1 Elevate Low Wolf Grey (W),Jordan,140,2022-02-19,138,208,17,203,144,320,115,0.094842,2984,0.571,188,220,0.257143
1740,Jordan 12 Retro Low Golf Taxi,Jordan,220,2022-03-09,183,410,17,240,88,850,65,0.03581,2833,0.109,258,244,0.04721
1741,Nike Air Max 1 Evolution Of Icons,Nike,140,2021-03-26,128,227,17,161,197,294,31,0.099236,2824,0.4,159,196,0.509234
1742,Jordan 1 Low Mocha (GS),Jordan,90,2021-12-11,144,191,17,153,79,267,119,0.053573,2805,0.744,165,157,-0.030864
1743,Nike React Phantom Run Flyknit 2 Flash Crimson Baltic Blue,Nike,145,2020-08-07,74,235,17,80,44,203,58,0.441316,2742,-0.6,138,58,-0.272158
1744,Nike Air Max Plus Wolf Grey,Nike,160,2018-02-21,150,224,17,165,89,497,50,0.1457,2435,0.106,190,177,-0.025191
1745,Nike Dunk Low Medium Curry,Nike,110,2021-03-29,392,294,17,700,245,1449,300,0.1894,2424,2.9,471,429,0.0
1746,Jordan 1 Retro High Travis Scott,Jordan,175,2019-05-11,1693,539,17,2310,384,3554,1240,0.093369,2253,8.046,1855,1583,-0.119487
1747,Nike KD Trey 5 VIII White Royal Tint,Nike,90,2020-04-08,67,282,17,110,28,227,29,0.235582,1853,-0.078,112,83,-0.308333
1748,Nike Dunk Low Essential Paisley Pack Black (W),Nike,120,2022-01-01,205,338,17,325,166,475,176,0.163425,1837,1.817,252,338,0.502222
1749,Jordan 1 Low White (GS),Nike,75,2021-04-05,92,268,17,90,35,184,61,0.07645,1714,0.44,106,108,0.079127
1750,adidas Samba OG Cloud White Core Black,adidas,100,2018-01-01,95,95,17,200,62,250,25,0.168683,1406,0.41,114,141,0.511021
1751,adidas Yeezy Foam RNNR Stone Sage (Kids),adidas,60,2022-03-11,116,189,17,121,43,219,87,0.187736,1333,0.767,133,106,-0.078261
1752,Nike SB Dunk Low Wasted Youth,Nike,110,2021-04-06,119,184,17,255,140,407,101,0.152791,1242,1.145,227,236,0.162562
1753,Jordan 6 Retro Midnight Navy (2022) (GS),Jordan,150,2022-05-11,99,333,17,105,43,360,68,0.146885,1026,-0.273,148,109,0.079208
1754,Nike SB Dunk High Pro Mineral Slate Suede,Nike,120,2022-02-19,135,367,17,140,93,233,86,0.059394,938,0.2,155,144,-0.013699
1755,Crocs Classic Clog Lucky Charms Magically Delicious,Crocs,60,2022-03-17,70,64,17,80,22,150,50,0.138075,549,0.167,88,70,-0.213483
1756,Jordan Legacy 312 Low Chicago Red,Jordan,130,2022-03-31,125,271,17,125,83,245,100,0.157089,489,0.008,154,131,0.007692
1757,Nike Air Zoom Pegasus 37 White Multi-Color,Nike,120,2020-07-01,86,167,17,90,40,385,61,0.107812,469,-0.225,121,93,-0.189149
1758,Nike Dunk Low Retro Sun Club Burn Sunrise (W),Nike,100,,129,158,17,191,100,384,116,0.120595,444,0.6,171,160,-0.058564
1759,Nike Metcon 7 Light Smoke Grey,Nike,130,2021-07-03,96,131,17,95,40,270,80,0.088683,439,-0.269,146,95,0.007745
1760,Nike Metcon 7 Light Smoke Grey,Nike,130,2021-07-03,96,131,17,95,40,270,80,0.088683,439,-0.269,146,95,0.007745
1761,Jordan 12 Retro Low Golf NRG P22 Laser Game Royal,Jordan,220,2022-05-20,155,371,17,240,87,896,140,0.154632,325,-0.241,263,167,-0.307054
1762,Nike Air Max Koko White (W),Nike,100,2020-04-10,70,42,17,65,6,169,40,0.076826,168,-0.21,86,79,0.012821
1763,New Balance 2002R Protection Pack Vintage Orange,New Balance,150,,224,53,17,254,67,362,174,0.139243,51,0.593,245,239,0.373563
1764,adidas Ultra Boost Mark Gonzales Shmoo,adidas,180,2022-06-09,172,102,17,191,96,299,179,0.057229,26,0.05,207,189,0.05
1765,Jordan 12 Retro Utility,Jordan,190,2021-08-21,208,556,16,250,111,487,127,0.1847,19901,0.053,229,200,-0.166667
1766,Nike Air Force 1 Low Hare Space Jam,Nike,120,2021-07-16,145,237,16,160,147,491,100,0.102852,16078,0.3,166,156,-0.198336
1767,adidas Yeezy 500 Taupe Light,adidas,200,2021-06-05,220,823,16,230,138,422,161,0.118735,13623,0.225,268,245,0.0
1768,Nike Blazer Mid 77 White Indigo,Nike,110,2021-05-20,106,132,16,220,76,385,40,0.448068,12397,-0.036,131,106,-0.10394
1769,Jordan 12 Retro Royalty Taxi (GS),Jordan,140,2021-11-13,105,308,16,121,55,279,76,0.252654,9923,-0.45,167,77,-0.384
1770,Jordan 14 Retro Winterized Archaeo Brown,Jordan,210,2021-10-16,179,472,16,185,100,499,141,0.105441,6963,-0.19,230,170,-0.128205
1771,Jordan 11 Retro Low IE Bred (2021),Jordan,170,2021-09-17,121,492,16,200,140,341,100,0.21165,6145,-0.047,177,162,-0.088064
1772,Nike Dunk High AMBUSH Flash Lime,Nike,180,2021-07-30,181,578,16,215,162,511,120,0.05557,5929,0.2,221,216,0.142857
1773,Nike SB Dunk Low Fog,Nike,100,2021-11-01,145,348,16,229,175,400,115,0.158944,5366,0.64,206,164,-0.207729
1774,Jordan 4 Retro Fire Red (2020) (GS),Jordan,150,2020-11-28,225,269,16,297,105,521,154,0.10211,3974,1.093,289,314,-0.089855
1775,Jordan 11 Retro Low Concord Bred,Jordan,185,2020-06-27,272,463,16,290,186,601,190,0.082294,3936,0.481,279,274,0.021396
1776,Nike Dunk High Cashmere (W),Nike,110,2021-10-20,93,589,16,80,83,269,40,0.296449,3917,-0.455,121,60,-0.567727
1777,adidas Yeezy Boost 350 V2 Citrin (Non-Reflective),adidas,220,2019-09-23,249,485,16,477,148,849,150,0.095001,3406,0.282,318,282,0.007143
1778,Jordan 4 Retro University Blue (PS),Jordan,85,2021-04-28,84,241,16,128,67,377,26,0.390521,3340,-0.047,113,81,-0.352
1779,adidas Yeezy Boost 350 V2 Yeezreel (Non-Reflective),adidas,220,2019-12-14,237,649,16,305,139,500,172,0.167085,3298,0.091,281,240,-0.212329
1780,Nike Air Max 90 Iron Grey,Nike,120,2020-01-09,81,194,16,95,86,204,30,0.15254,3281,-0.392,93,73,-0.332559
1781,Jordan 1 Low Triple Black,Nike,90,2020-08-17,96,254,16,115,90,263,46,0.076771,2845,0.222,121,110,-0.13473
1782,Jordan 1 Mid Paris White,Jordan,130,2022-03-23,135,631,16,142,138,363,40,0.354819,2595,0.154,170,150,0.008599
1783,adidas Yeezy Boost 350 V2 Earth,adidas,220,2020-02-22,351,284,16,500,180,747,250,0.065156,2333,1.045,454,450,0.25
1784,Nike Kyrie 4 Low Keep Sue Fresh Dynasty,Nike,110,2021-09-25,120,105,16,152,77,335,26,0.333915,2097,0.209,131,133,-0.014815
1785,Puma MB1 Queen City (GS),Puma,90,2022-03-18,148,65,16,188,38,256,65,0.130384,1906,1.444,130,220,0.189189
1786,Alexander McQueen Oversized Ivory Black,Alexander McQueen,490,2019-03-02,405,149,16,405,143,657,231,0.142653,1788,-0.084,429,449,-0.060669
1787,Nike Dunk High Next Nature Toasty Rattan,Nike,130,2021-11-05,99,327,16,142,72,485,96,0.148732,1498,-0.031,157,126,-0.037299
1788,Nike Air Max 1 AMD La Ville Lumière (W),Nike,160,2022-03-26,113,458,16,226,123,526,100,0.186685,1398,1.025,191,324,1.95501
1789,New Balance 990v5 Grey (GS),New Balance,90,2019-05-04,95,66,16,88,45,255,41,0.167348,1215,0.1,116,99,-0.293827
1790,Nike Air Max 95 NH Ironstone,Nike,185,2022-02-09,104,252,16,165,101,250,101,0.118877,857,-0.357,157,119,0.081818
1791,New Balance 550 White Burgundy,New Balance,100,2022-04-30,149,117,16,205,73,271,130,0.168909,832,0.84,181,184,0.15807
1792,New Balance 2002R J. Crew Incense,New Balance,140,2021-09-20,101,241,16,128,76,375,80,0.128344,773,-0.286,152,100,-0.159664
1793,New Balance 452 White Black (W),New Balance,0,2020-04-03,74,60,16,80,8,237,50,0.047379,587,inf,118,91,0.1375
1794,New Balance 2002R Grey,New Balance,150,2022-01-01,118,114,16,147,79,319,88,0.198876,451,-0.16,164,126,0.138837
1795,Nike Air Force 1 Low '07 Pecan,Nike,100,2022-04-01,93,190,16,119,85,226,87,0.134771,448,0.29,133,129,0.182376
1796,Jordan 11 Retro Low 72-10 (TD),Jordan,60,2022-05-14,60,307,16,67,29,143,60,0.084237,411,0.1,77,66,0.015385
1797,Nike ZoomX Vaporfly Next% 2 White Pink,Nike,250,,117,179,16,117,71,323,100,0.106001,338,-0.56,155,110,-0.219858
1798,Nike Air Max 1 Travis Scott Cactus Jack Baroque Brown (TD),Nike,70,2022-05-27,117,272,16,117,115,242,105,0.0662,281,0.657,144,116,0.023121
1799,Nike Air Max Koko Serena Williams Design Crew (W),Nike,100,,102,39,16,85,17,205,60,0.132473,73,-0.05,113,95,-0.120558
1800,Nike Air Force 1 Low Cut-Out White Grey Black Swoosh,Nike,100,2022-04-16,120,122,16,114,24,261,108,0.168395,66,0.25,165,125,-0.262314
1801,Nike KD 15 Psychic Purple,Nike,150,,175,50,16,165,28,254,145,0.070374,44,0.2,185,180,0.0
1802,Nike Air Max 1 Safari Cobblestone,Nike,160,2022-05-01,252,54,16,280,112,635,246,0.102484,18,1.381,320,381,0.23301
1803,Nike Dunk High Game Royal,Nike,110,2021-06-29,173,522,15,205,174,334,0,0.13015,15083,0.5,178,165,0.092715
1804,Nike Dunk Low Sail Light Bone (W),Nike,100,2021-09-20,254,479,15,270,228,466,129,0.14009,10345,1.54,222,254,0.049975
1805,Jordan 5 Retro Raging Bull Red (2021) (GS),Jordan,140,2021-04-10,100,457,15,147,48,268,67,0.186828,8875,0.129,148,158,0.305124
1806,Nike Dunk Low Retro Black Hyper Cobalt (2021),Nike,100,2021-02-18,182,372,15,200,147,344,123,0.13326,8704,1.43,198,243,0.488558
1807,Jordan 3 Retro Pine Green (GS),Jordan,140,2021-10-30,150,166,15,161,50,277,25,0.107322,8015,0.371,176,192,0.342657
1808,adidas Yeezy 700 V3 Kyanite,adidas,200,2021-03-25,229,591,15,290,175,594,139,0.070146,7880,0.385,269,277,0.025926
1809,Nike Dunk Low Retro Medium Grey Varsity Red UNLV (2021),Nike,110,2021-02-18,222,411,15,290,185,412,139,0.177862,6482,0.818,240,200,-0.230769
1810,adidas Yeezy Boost 350 V2 Cinder,adidas,220,2020-03-21,342,536,15,405,187,646,254,0.099835,4425,0.877,426,413,0.012255
1811,adidas Yeezy Boost 350 V2 Yecheil (Non-Reflective),adidas,220,2019-12-20,284,580,15,400,165,620,245,0.157685,4057,0.418,371,312,-0.196345
1812,Nike Vaporwaffle sacai Dark Iris,Nike,180,2021-04-29,280,341,15,360,211,624,185,0.17989,3861,0.661,322,299,0.080908
1813,Nike Dunk Low EMB NBA 75th Anniversary Knicks,Nike,110,2022-02-01,117,386,15,129,43,319,99,0.060333,3732,0.164,141,128,0.066667
1814,Nike Air Force 1 High White,Nike,100,2014-05-23,124,115,15,110,71,342,47,0.118727,3548,0.42,135,142,0.059701
1815,New Balance 550 Sea Salt Black,New Balance,100,2022-04-07,178,184,15,264,98,860,133,0.17123,3533,1.66,228,266,0.364103
1816,Jordan 1 Retro High Shattered Backboard 3.0,Jordan,160,2019-10-26,321,518,15,430,201,806,215,0.18516,3511,1.312,409,370,-0.308411
1817,Jordan 4 Retro Starfish (W),Jordan,200,2021-01-22,137,323,15,240,145,398,80,0.215397,3308,0.43,218,286,0.262032
1818,adidas Yeezy Boost 350 V2 Desert Sage,adidas,220,2020-03-14,240,661,15,290,137,491,120,0.098248,3112,0.341,304,295,0.004528
1819,Nike SB Dunk High Supreme By Any Means Black,Nike,128,2022-03-03,228,450,15,326,239,682,206,0.112304,3081,1.008,309,257,-0.223975
